,new_title,new_description,new_link,new_price,new_ship_price,new_ship_how
0,Nylon LED Pet Dog Collar Night Safety Flashing Glow In The Dark Dog Leash Dogs Luminous Fluorescent Collars Pet Supplies,Nylon LED Pet Dog Collar Night Safety Flashing Glow In The Dark Dog Leash Dogs Luminous Fluorescent Collars Pet Supplies   S =  Width 2.5CM * Length (35-43) CM  M = Width 2.5CM * Length (40-48) CM  L =  Width 2.5CM * Length (45-52) CM XL =  Width 2.5CM * Length (52-60) CM  Please see picture Message me what size you like !!  Make sure to measure dog neck !! Pick color in our color option box  Thanks,https://www.etsy.com/listing/902342410/nylon-led-pet-dog-collar-night-safety?,22.99,Jan 15-22 ,"     Ships from Los Angeles, CA "
1,LED USB Rechargeable Dog Collars,"- THIS WILL SAVE YOUR DOG&#39;S LIFE - Vehicles will see your dog well in advance with this bright collar  - USER-FRIENDLY, COMFORTABLE AND FULLY ADJUSTABLE  - Change the light between steady mode, rapid flashing or slow flashing with just 1 click. Thanks to the easy-to-use clips the LED    Dog Collar is no hassle to put on - USB RECHARGEABLE BATTERY, LIGHTWEIGHT, STURDY & DURABLE MATERIALS - The USB rechargeable battery (cable included)    gives 5 hours of illumination per 1-hour charge. A charge that will last multiple walks. No hassle with replacing batteries and no    extra costs. On top of that, it&#39;s well-constructed and sturdily built. A durable design that will last a lifetime!",https://www.etsy.com/listing/765459231/led-usb-rechargeable-dog-collars?,14.99,Jan 15-21 ,"     Ships from Orlando, FL "
2,Collar LED Light Night Safety Light-up Flash Glowing in Dark Collar LED  Decorative Collars,"A decorative collar for your pet, witch will protect them in the dark, from unforeseen dangers. Help cars, bikers, runners, etc. to see your pet in the dark. Have your babies seen during night walks, so no harm may come to them.  Product specification:  M = Width 2.5CM * Length (37 ~ 49) CM",https://www.etsy.com/listing/895340579/collar-led-light-night-safety-light-up?,7.00,Jan 14-21 ,"     Ships from Ridgewood, NY "
3,"LED DOG Collar. USB Rechargeable. 100% Waterproof. Available in 4 Size and 4 Colour Variants. Makes Your Dog Visible, Safe & Seen",Safety: Bright Flashing Collar will make your Pet visible to all the Vehicles and Traffic  Eco-Friendly: No longer required Batteries. USB Rechargeable. *USB Charger Included*    100% Waterproof  3 Flashing Modes with one click.   Available in 4 Colors & 4 Sizes.,https://www.etsy.com/listing/864124057/led-dog-collar-usb-rechargeable-100?,19.34,Jan 19-28 ,     Ships from Canada 
4,LED Pet dog Collar,"Nothing is scarier than taking your dog out for a routine night trip to the bathroom, only to have them disappear from your sight. Enter the Nite Ize Nite Dawg Collar. You&#39;ll be able to locate your friend with ease. It&#39;s built to be your dog&#39;s everyday collar, with the strong buckle and sturdy leash ring you&#39;d expect from outdoor gear. But hit the simple on/off switch, and watch those night walks and bathroom runs get so much easier. You&#39;ll be able to see your dog from up to 1,000 feet away. Glow and flash modes give you flexibility for different environments and darkness levels. A reflective safety strip further increases visibility.  Your dog likes to splash around? No problem! The on/off switch is weather resistant, so playing at the pond or going out in the rain won&#39;t harm anything. The batteries are easy to replace, and last for up to 100 hours of runtime.  Features: Bright Blue/Pink LED Push On/Off Switch Glow and Flash Modes 1,000 foot visibility Easily replaceable batteries Up to 100 hours of battery life  Dimensions: Fits: 13&quot; - 18&quot;  33cm - 45.7cm9",https://www.etsy.com/listing/689942214/led-pet-dog-collar?,3.99,1 business day,     Ships from United States 
5,USB Rechargeable LED Pet safety collars,"These rechargeable LED collar will provide safety for your pet after dark as well as make it easy to locate when it is time to return home. Change the light between steady, rapid flashing or slow flashing mode with just 1 click. Keep your pet safe and easy to identify at night. Don&#39;t let him or her become part of the high number of pets killed a day because of poor night visibility. Approximately 60 hours of use per full charge. It also has a leash hook which will allow you and your pet to share an evening or night time walk.    Comes in a variety of colors and sizes. Just specify size: small, medium, large or extra large. and colors (Blue, Red, Yellow, Green and Orange.)   Free Shipping on all orders.  Wholesale prices are available. Please inquire about our price breaks on quantity orders.",https://www.etsy.com/listing/759997359/usb-rechargeable-led-pet-safety-collars?,8.00,Free,"     Ships from Memphis, TN "
6,"LED Pet Programmable Safety Dog Collar, Rechargeable App Controlled Scrolling Message","LED Pet Programmable Safety Collar, Rechargeable App Controlled Scrolling Message  Keep Your Pet safe and avoid accidents by keeping them visible in low light conditions.    ➤ App Controlled LED Light Collar--- This lighted dog collar is easy to program and use. It can display name, message, telephone number or other customisable images and messages.  Makes walking safe bright and fun at night time. Handy on camping trips too.  ➤Safety & Seen Light Collar--- Makes your pet dog be seen in low light conditions.  Visible  to Car drivers, joggers, cyclists and other motorists will see your dog well in advance with this bright collar, which can help you keep your dog safe. Avoid accidents.  ➤ Durable and Made with high-quality nylon materials and super bright LED display, you can easy to adjust the perfect size for your pet.  ➤Size:  Medium size with adjustable straps to fit most pets. Diameter is adjustable from 7 inches to 9.5 inches  ➤ Light Weight & Rechargeable--- This dog led collar is lightweight and durable with strong buckle. Your dog wearing it will be comfortable. It made 250mA lithium battery, up to 6-8 hours  with 2 hours charge time   NOTE--- The dog collar is made of waterproof materials but the charging port might be exposed and not meant to be submerged in water.",https://www.etsy.com/listing/864260538/led-pet-programmable-safety-dog-collar?,23.99,Jan 15-22 ,"     Ships from El Paso, TX "
7,Dice 3D Illusion Lamp  3D LED Illusion Light  16 Color LED Light  Custom Man Cave Light  Game Room Light,"This 3D &quot;Dice&quot; illusion lamp will add the perfect touch to any room or office.  This custom 3D illusion lamp precision laser cut and hand polished for amazing clarity and brightness.  Made to order with 1/8&quot; acrylic and brought to life using the latest in laser technology this 3D light will be sure to impress friends and family alike.  The lamp base is powered by a USB cable (included) or 3-AA batteries (not included).  The included infrared remote control allows you to display 16 different colors, 4 different light shows and adjust the brightness all without moving from your favorite spot.  Make this light even more special with a message or name engraved right on the lamp!  For an additional fee, you can choose the custom message/name option above to create a true one-of-a-kind lamp.  Want to create an even more amazing piece?  Contact us today to discuss our custom options.",https://www.etsy.com/listing/760836553/dice-3d-illusion-lamp-3d-led-illusion?,34.99,Jan 16-23 ,"     Ships from Verona, WI "
8,3D Night light Children’s Bedroom Plug-in LED Lighting Acrylic Valentine’s Day Gift Moonlight Adult Master Bedroom Table Lamp,"The engraved optical acrylic flat panel display creates a magnificent 3D lighting effect. This kind of gift will excite children. They will not feel lonely and will no longer be afraid of sleeping alone.  LED lights: Children will not be bothered by too many styles and luminous effects.  10 styles: more styles, more fun. It is easy to remove from the lamp holder and place it on another panel.  Touch: You can use touch control, especially when you need more features. 10 styles for you to choose: through wall charger; USB cable; battery AA * 3 (not included)  Great gift ideas: perfect gift ideas for birthdays, Christmas, Thanksgiving, suitable for kids, boys, girls. Used in family, bedroom, children&#39;s room, living room party, etc.",https://www.etsy.com/listing/918936948/3d-night-light-childrens-bedroom-plug-in?,39.99,Jan 21-Feb 4 ,     Ships from United States 
9,Baby Yoda LED 3D Illusion Lamp - Mandalorian Inspired - Laser Engraved - Nightlight,"Laser engraved Baby Yoda LED lamp.  Remote controlled color changing base, can be set to any of 16 different colors plus Flash, Strobe, Fade, and Smooth transitions.  The lighting level can also be adjusted by the remote.  The lamp can be turned on/off and cycled through all lighting modes simply by tapping the smart-touch symbol on the base.  Laser engraved on crystal-clear 1/8 inch cast acrylic, the lamp comes with an LED base, Baby Yoda figure, multi-function remote, and USB cable.  The lamp can operate on the USB cable plugged into a computer or power adapter or on 3 AA batteries - power adapter and batteries not included.   A perfect nightlight for a child&#39;s room or conversation piece for any room.  Perfect gift for Father&#39;s Day, Mother&#39;s Day, Birthday, Christmas, housewarming, office, or just for yourself.  Always a big hit in a college dorm room or on a shelf in your office!  Lamps are hand made here in the US and ship in 1 - 3 business days.  Technical Parameters: Input Voltage 4.5 - 5V Power Input: Computer, 5V Power Supply, or 3-AA Batteries (not included) Output Power: 2 - 2.5W",https://www.etsy.com/listing/766731638/baby-yoda-led-3d-illusion-lamp?,35.00,Jan 19-25 ,"     Ships from Mount Juliet, TN "
